183508362,1,2,2023-04-24 01:34:00
183510728,8,9,2023-04-24 02:24:00
183510734,0,1,2023-04-24 02:24:00
183510853,1098,239,2023-04-24 02:26:00
183511795,1308,257,2023-04-24 02:44:00
183514889,1113,273,2023-04-24 03:45:00
183516664,928,223,2023-04-24 04:18:00
183518466,1126,189,2023-04-24 05:08:00
183521149,921,178,2023-04-24 06:37:00
183521264,2,3,2023-04-24 06:40:00
183523733,777,201,2023-04-24 08:10:00
183524029,687,141,2023-04-24 08:20:00
183529215,993,201,2023-04-24 10:44:00
183529248,4,4,2023-04-24 10:45:00
183532258,1063,221,2023-04-24 11:52:00
183534578,877,234,2023-04-24 12:38:00
183537311,948,276,2023-04-24 13:34:00
183537812,171,104,2023-04-24 13:45:00
183540281,782,236,2023-04-24 14:33:00
183540424,936,269,2023-04-24 14:35:00
183544997,29,30,2023-04-24 15:53:00
183545229,820,256,2023-04-24 15:56:00
183546925,869,278,2023-04-24 16:25:00
183549169,23,20,2023-04-24 17:03:00
183551126,20,21,2023-04-24 17:37:00
183551201,1053,299,2023-04-24 17:38:00
183551783,3,3,2023-04-24 17:47:00
183553307,941,298,2023-04-24 18:09:00
183555427,10,6,2023-04-24 18:41:00
183558779,1005,307,2023-04-24 19:28:00
183563406,1065,301,2023-04-24 20:43:00
183567152,979,259,2023-04-24 21:55:00
183567156,0,1,2023-04-24 21:55:00
183567193,0,1,2023-04-24 21:55:00
183568941,955,264,2023-04-24 22:24:00
183568952,92,56,2023-04-24 22:24:00
183570962,954,244,2023-04-24 22:55:00
183572993,892,239,2023-04-24 23:31:00
183574802,857,235,2023-04-25 00:02:00
183576538,1119,278,2023-04-25 00:33:00
183578188,1186,290,2023-04-25 01:01:00
183579841,1107,275,2023-04-25 01:24:00
183581902,987,239,2023-04-25 01:58:00
183581933,1154,284,2023-04-25 01:58:00
183585321,1053,247,2023-04-25 03:01:00
183587205,1168,219,2023-04-25 03:39:00
183589350,1077,220,2023-04-25 04:24:00
183592339,886,183,2023-04-25 05:55:00
183595307,754,150,2023-04-25 07:43:00
183595338,0,1,2023-04-25 07:44:00
183601492,870,186,2023-04-25 10:59:00
183601524,1299,289,2023-04-25 11:00:00
183607907,51,48,2023-04-25 13:13:00
183612490,888,271,2023-04-25 14:39:00
183614733,797,261,2023-04-25 15:20:00
183616699,1047,274,2023-04-25 15:52:00
183618382,8,9,2023-04-25 16:19:00
183619514,992,263,2023-04-25 16:38:00
183619525,6,7,2023-04-25 16:38:00
183621561,868,277,2023-04-25 17:12:00
183621597,1,2,2023-04-25 17:12:00
183621848,12,12,2023-04-25 17:15:00
183624706,8,9,2023-04-25 17:59:00
183625559,875,234,2023-04-25 18:12:00
183629519,821,220,2023-04-25 19:08:00
183630250,795,220,2023-04-25 19:17:00
183632679,887,309,2023-04-25 19:51:00
183632796,31,21,2023-04-25 19:53:00
183634310,1089,309,2023-04-25 20:16:00
183636290,1021,296,2023-04-25 20:42:00
183638298,1101,309,2023-04-25 21:08:00
183640300,1114,314,2023-04-25 21:35:00
183642445,1077,334,2023-04-25 22:07:00
183644195,906,251,2023-04-25 22:30:00
183646156,1136,281,2023-04-25 23:00:00
183646235,929,214,2023-04-25 23:01:00
183650510,1275,308,2023-04-26 00:17:00
183651990,18,19,2023-04-26 00:44:00
183653702,106,59,2023-04-26 01:16:00
183657453,1257,225,2023-04-26 02:39:00
183659412,1093,206,2023-04-26 03:26:00
183661240,985,202,2023-04-26 04:08:00
183663449,765,169,2023-04-26 05:08:00
183665656,905,219,2023-04-26 06:29:00
183668697,965,191,2023-04-26 08:19:00
183669160,2,2,2023-04-26 08:31:00
183671411,1019,224,2023-04-26 09:32:00
183674973,1165,249,2023-04-26 11:05:00
183677499,1157,247,2023-04-26 11:58:00
183679778,995,248,2023-04-26 12:37:00
183682867,7,7,2023-04-26 13:32:00
183682955,1002,248,2023-04-26 13:34:00
183685285,46,25,2023-04-26 14:13:00
183685367,1210,290,2023-04-26 14:14:00
183688723,1320,344,2023-04-26 15:09:00
183692728,1106,280,2023-04-26 16:19:00
183701319,944,296,2023-04-26 18:22:00
183702008,520,163,2023-04-26 18:31:00
183702897,888,266,2023-04-26 18:43:00
183704460,721,219,2023-04-26 19:02:00
183704898,952,273,2023-04-26 19:08:00
183707350,1193,308,2023-04-26 19:35:00
183710088,1210,377,2023-04-26 20:04:00
183713194,1097,363,2023-04-26 20:38:00
183715215,768,250,2023-04-26 21:02:00
183716466,1319,336,2023-04-26 21:19:00
183718073,0,1,2023-04-26 21:43:00
183720374,10,8,2023-04-26 22:17:00
183720701,1156,337,2023-04-26 22:22:00
183723484,137,98,2023-04-26 23:06:00
183724031,1412,375,2023-04-26 23:16:00
183726363,1247,310,2023-04-26 23:59:00
183728789,1024,235,2023-04-27 00:42:00
183731105,956,237,2023-04-27 01:19:00
183733390,1110,279,2023-04-27 01:58:00
183735258,1583,273,2023-04-27 02:28:00
183738376,976,203,2023-04-27 03:32:00
183740550,1079,203,2023-04-27 04:30:00
183742869,1035,189,2023-04-27 05:47:00
183745071,1020,216,2023-04-27 06:58:00
183747945,1,1,2023-04-27 08:24:00
183747986,3,4,2023-04-27 08:25:00
183748216,939,231,2023-04-27 08:31:00
183750872,1064,232,2023-04-27 09:36:00
183753818,991,217,2023-04-27 10:36:00
183757549,1254,276,2023-04-27 11:47:00
183761342,1070,282,2023-04-27 12:54:00
183761356,1,2,2023-04-27 12:55:00
183761368,0,1,2023-04-27 12:55:00
183763564,1053,284,2023-04-27 13:31:00
183766181,1083,265,2023-04-27 14:11:00
183768842,0,1,2023-04-27 14:49:00
183769081,1013,284,2023-04-27 14:53:00
183773660,852,247,2023-04-27 16:11:00
183773680,5,4,2023-04-27 16:11:00
183778306,1204,326,2023-04-27 17:25:00
183780637,27,23,2023-04-27 18:02:00
183781018,833,254,2023-04-27 18:08:00
183781975,1052,289,2023-04-27 18:23:00
183785304,1077,278,2023-04-27 19:20:00
183788377,1034,278,2023-04-27 20:15:00
183788449,1185,306,2023-04-27 20:16:00
183792802,548,170,2023-04-27 21:31:00
183798799,41,27,2023-04-27 23:23:00
183800825,1024,248,2023-04-28 00:06:00
183803035,1038,223,2023-04-28 01:00:00
183806457,1039,176,2023-04-28 02:42:00
183810378,469,117,2023-04-28 04:54:00
183810419,1075,181,2023-04-28 04:56:00
183816321,1068,211,2023-04-28 08:37:00
183819552,1035,249,2023-04-28 10:08:00
183822053,1106,251,2023-04-28 11:04:00
183825521,816,221,2023-04-28 12:22:00
183827007,622,166,2023-04-28 12:55:00
183827949,690,191,2023-04-28 13:16:00
183828709,7,4,2023-04-28 13:35:00
183829173,8,8,2023-04-28 13:45:00
183831654,826,221,2023-04-28 14:39:00
183836284,162,108,2023-04-28 16:09:00
183836359,762,189,2023-04-28 16:10:00
183839573,801,230,2023-04-28 17:05:00
183841552,828,248,2023-04-28 17:44:00
183843776,656,216,2023-04-28 18:23:00
183844100,174,93,2023-04-28 18:29:00
183845746,925,238,2023-04-28 19:02:00
183848421,827,201,2023-04-28 19:55:00
183850533,23,11,2023-04-28 20:36:00
183850558,35,32,2023-04-28 20:36:00
183850717,3,2,2023-04-28 20:39:00
183850947,711,177,2023-04-28 20:43:00
183853255,892,240,2023-04-28 21:24:00
183857227,977,225,2023-04-28 22:44:00
183859842,954,233,2023-04-28 23:39:00
183862239,930,212,2023-04-29 00:30:00
183862291,1,2,2023-04-29 00:31:00
183864625,919,168,2023-04-29 01:30:00
183864698,16,13,2023-04-29 01:32:00
183866185,1115,212,2023-04-29 02:11:00
183867296,106,37,2023-04-29 02:44:00
183869927,673,120,2023-04-29 04:14:00
183871874,626,132,2023-04-29 05:39:00
183871894,682,147,2023-04-29 05:40:00
183877459,783,179,2023-04-29 09:25:00
183881055,604,154,2023-04-29 11:10:00
183883760,851,183,2023-04-29 12:23:00
183884158,6,7,2023-04-29 12:32:00
183886531,920,201,2023-04-29 13:31:00
183889357,968,212,2023-04-29 14:31:00
183892446,857,191,2023-04-29 15:35:00
183894762,831,201,2023-04-29 16:24:00
183897246,839,224,2023-04-29 17:17:00
183899273,981,221,2023-04-29 18:00:00
183901157,716,204,2023-04-29 18:40:00
183903006,732,197,2023-04-29 19:12:00
183904665,756,197,2023-04-29 19:41:00
183906557,912,210,2023-04-29 20:19:00
183911224,1002,206,2023-04-29 22:05:00
183911875,11,9,2023-04-29 22:17:00
183913693,919,227,2023-04-29 22:58:00
183913714,2,1,2023-04-29 22:58:00
183913903,14,10,2023-04-29 23:02:00
183916237,926,201,2023-04-29 23:55:00
183916257,643,180,2023-04-29 23:55:00
183920452,662,162,2023-04-30 01:44:00
183922417,734,156,2023-04-30 02:42:00
183924183,720,137,2023-04-30 03:37:00
183924196,646,135,2023-04-30 03:37:00
183924870,559,157,2023-04-30 03:57:00
183930795,605,124,2023-04-30 08:05:00
183933783,688,142,2023-04-30 09:48:00
183937065,892,187,2023-04-30 11:23:00
183940626,791,161,2023-04-30 12:44:00
183940642,796,190,2023-04-30 12:44:00
183946813,677,154,2023-04-30 14:54:00
183946930,766,217,2023-04-30 14:57:00
183951367,890,205,2023-04-30 16:23:00
183954394,842,225,2023-04-30 17:28:00
183954453,910,243,2023-04-30 17:29:00
183958376,947,233,2023-04-30 18:37:00
183960927,830,214,2023-04-30 19:18:00
183960999,804,182,2023-04-30 19:19:00
183962923,1031,234,2023-04-30 19:49:00
183966051,1065,223,2023-04-30 20:50:00
183969989,926,201,2023-04-30 22:07:00
183970220,8,8,2023-04-30 22:10:00
183970553,673,176,2023-04-30 22:16:00
183972218,787,211,2023-04-30 22:45:00
183973247,900,205,2023-04-30 23:04:00
183978427,821,150,2023-05-01 01:08:00
183978486,653,147,2023-05-01 01:09:00
183983232,664,143,2023-05-01 03:24:00
183985879,610,137,2023-05-01 05:04:00
183990126,794,163,2023-05-01 07:52:00
183992992,24,21,2023-05-01 09:38:00
183993796,720,194,2023-05-01 10:08:00
183997054,755,182,2023-05-01 11:49:00
183997102,12,8,2023-05-01 11:50:00
184000188,875,200,2023-05-01 13:00:00
184002838,865,212,2023-05-01 13:58:00
184005537,1061,243,2023-05-01 14:56:00
184007599,836,219,2023-05-01 15:35:00
184009436,853,247,2023-05-01 16:07:00
184011628,829,255,2023-05-01 16:49:00
184013609,797,247,2023-05-01 17:24:00
184017944,856,225,2023-05-01 18:49:00
184020341,754,194,2023-05-01 19:35:00
184022217,933,207,2023-05-01 20:15:00
184025189,961,226,2023-05-01 21:18:00
184027705,873,217,2023-05-01 22:12:00
184030658,1044,211,2023-05-01 23:15:00
184033121,896,200,2023-05-02 00:09:00
184035172,972,204,2023-05-02 00:50:00
184037388,911,180,2023-05-02 01:36:00
184039644,847,155,2023-05-02 02:45:00
184042417,733,129,2023-05-02 04:41:00
184042429,15,8,2023-05-02 04:41:00
184045797,599,134,2023-05-02 07:09:00
184048665,620,138,2023-05-02 08:55:00
184051749,703,162,2023-05-02 10:30:00
184054791,778,168,2023-05-02 12:01:00
184057454,1061,226,2023-05-02 13:04:00
184060808,1096,247,2023-05-02 14:20:00
184063507,1101,251,2023-05-02 15:15:00
184065878,1241,283,2023-05-02 16:00:00
184067733,1128,253,2023-05-02 16:28:00
184070731,1171,257,2023-05-02 17:14:00
184072945,899,228,2023-05-02 17:55:00
184075665,861,189,2023-05-02 18:44:00
184075691,1039,263,2023-05-02 18:44:00
184076584,140,76,2023-05-02 19:00:00
184080839,979,225,2023-05-02 20:30:00
184083336,977,209,2023-05-02 21:26:00
184085527,937,221,2023-05-02 22:13:00
184087236,760,204,2023-05-02 22:45:00
184088731,1010,225,2023-05-02 23:12:00
184092606,976,224,2023-05-03 00:37:00
184094764,1060,211,2023-05-03 01:25:00
184094792,928,198,2023-05-03 01:25:00
184099527,581,136,2023-05-03 03:34:00
184104182,598,131,2023-05-03 06:55:00
184104502,652,135,2023-05-03 07:09:00
184108596,653,159,2023-05-03 09:48:00
184113664,784,179,2023-05-03 12:13:00
184116377,812,177,2023-05-03 13:14:00
184119586,756,190,2023-05-03 14:26:00
184122003,713,171,2023-05-03 15:18:00
184124287,775,179,2023-05-03 16:08:00
184126387,788,190,2023-05-03 16:50:00
184128879,919,215,2023-05-03 17:36:00
184131363,1115,302,2023-05-03 18:21:00
184133243,808,282,2023-05-03 18:46:00
184133284,899,251,2023-05-03 18:47:00
184137108,905,233,2023-05-03 19:45:00
184137123,562,195,2023-05-03 19:45:00
184139867,836,167,2023-05-03 20:37:00
184143347,50,38,2023-05-03 21:46:00
184143577,874,204,2023-05-03 21:53:00
184146815,919,207,2023-05-03 23:11:00
184148961,928,173,2023-05-03 23:59:00
184152225,837,171,2023-05-04 01:13:00
184154515,936,188,2023-05-04 02:22:00
184157325,650,130,2023-05-04 04:03:00
184159782,611,163,2023-05-04 05:50:00
184163344,563,160,2023-05-04 08:32:00
184167247,722,143,2023-05-04 10:42:00
184167260,759,198,2023-05-04 10:42:00
184172521,4,4,2023-05-04 12:47:00
184172549,758,194,2023-05-04 12:48:00
184174727,849,206,2023-05-04 13:36:00
184177735,703,150,2023-05-04 14:44:00
184177774,738,213,2023-05-04 14:45:00
184181360,1081,238,2023-05-04 16:01:00
184184103,1054,242,2023-05-04 16:53:00
184186764,519,142,2023-05-04 17:42:00
184186784,554,139,2023-05-04 17:43:00
184189458,658,175,2023-05-04 18:39:00
184191815,707,201,2023-05-04 19:31:00
184194161,728,183,2023-05-04 20:25:00
184196354,898,200,2023-05-04 21:12:00
184198966,764,196,2023-05-04 22:10:00
184200725,924,196,2023-05-04 22:45:00
184202956,902,234,2023-05-04 23:34:00
184204918,684,202,2023-05-05 00:17:00
184206106,976,222,2023-05-05 00:37:00
184208224,785,185,2023-05-05 01:20:00
184209839,863,198,2023-05-05 01:58:00
184211543,958,171,2023-05-05 02:39:00
184214075,1475,183,2023-05-05 04:04:00
184217064,1112,158,2023-05-05 05:39:00
184219916,921,148,2023-05-05 07:14:00
184223160,34,23,2023-05-05 09:02:00
184223241,918,160,2023-05-05 09:05:00
184223244,517,134,2023-05-05 09:05:00
184224753,4,5,2023-05-05 09:51:00
184227542,931,213,2023-05-05 11:11:00
184232038,799,171,2023-05-05 13:08:00
184232054,1,2,2023-05-05 13:08:00
184234764,800,196,2023-05-05 14:10:00
184237328,867,207,2023-05-05 15:06:00
184239351,846,195,2023-05-05 15:47:00
184241992,878,195,2023-05-05 16:38:00
184244661,849,185,2023-05-05 17:27:00
184244666,805,195,2023-05-05 17:27:00
184250048,761,176,2023-05-05 19:13:00
184250141,7,6,2023-05-05 19:15:00
184251919,917,223,2023-05-05 19:49:00
184252563,942,179,2023-05-05 19:59:00
184256723,802,191,2023-05-05 21:15:00
184257124,705,164,2023-05-05 21:22:00
184258947,1025,224,2023-05-05 21:52:00
184260689,920,167,2023-05-05 22:21:00
184261736,1058,203,2023-05-05 22:35:00
184265435,1049,218,2023-05-05 23:43:00
184267485,914,192,2023-05-06 00:20:00
184269508,961,171,2023-05-06 01:02:00
184269548,806,190,2023-05-06 01:03:00
184271206,927,178,2023-05-06 01:30:00
184283316,638,162,2023-05-06 07:25:00
184287234,997,183,2023-05-06 09:30:00
184290764,779,170,2023-05-06 11:07:00
184293402,806,183,2023-05-06 12:16:00
184295608,756,194,2023-05-06 13:10:00
184298140,728,173,2023-05-06 14:06:00
184300601,763,183,2023-05-06 15:04:00
184303087,750,190,2023-05-06 15:59:00
184304966,904,189,2023-05-06 16:36:00
184307844,838,195,2023-05-06 17:38:00
184310358,604,173,2023-05-06 18:35:00
184312198,802,191,2023-05-06 19:17:00
184313122,8,7,2023-05-06 19:38:00
184314424,810,196,2023-05-06 20:06:00
184316852,980,200,2023-05-06 21:03:00
184316867,810,188,2023-05-06 21:03:00
184320761,924,191,2023-05-06 22:26:00
184325679,856,166,2023-05-07 00:22:00
184327815,790,138,2023-05-07 01:14:00
184329849,881,178,2023-05-07 02:03:00
184332099,914,158,2023-05-07 03:03:00
184334977,688,118,2023-05-07 04:43:00
184337866,607,121,2023-05-07 06:59:00
184340830,783,147,2023-05-07 09:02:00
184344649,667,154,2023-05-07 11:01:00
184347663,748,168,2023-05-07 12:21:00
184350329,976,209,2023-05-07 13:26:00
184353327,728,165,2023-05-07 14:27:00
184355795,699,160,2023-05-07 15:18:00
184358018,749,184,2023-05-07 16:05:00
184360511,772,176,2023-05-07 16:55:00
184362959,674,181,2023-05-07 17:42:00
184364944,755,197,2023-05-07 18:20:00
184367194,1100,238,2023-05-07 19:11:00
184369440,1125,204,2023-05-07 19:54:00
184369692,1080,270,2023-05-07 19:57:00
184373356,994,274,2023-05-07 20:49:00
184375139,893,238,2023-05-07 21:15:00
184376775,1038,252,2023-05-07 21:38:00
184378460,837,250,2023-05-07 22:01:00
184380262,1056,269,2023-05-07 22:24:00
184382512,814,190,2023-05-07 23:00:00
184384340,856,196,2023-05-07 23:33:00
184386246,1016,215,2023-05-08 00:12:00
184388836,921,215,2023-05-08 01:07:00
184390506,902,212,2023-05-08 01:41:00
184392173,732,184,2023-05-08 02:17:00
184393611,986,188,2023-05-08 02:55:00
184395224,19,15,2023-05-08 03:36:00
184395747,772,146,2023-05-08 03:51:00
184395778,4,4,2023-05-08 03:51:00
184395787,691,160,2023-05-08 03:51:00
184400973,771,138,2023-05-08 07:12:00
184404154,750,133,2023-05-08 09:03:00
184406823,780,155,2023-05-08 10:22:00
184410596,854,192,2023-05-08 12:06:00
184410597,199,72,2023-05-08 12:06:00
184411215,2,2,2023-05-08 12:22:00
184411655,1,1,2023-05-08 12:33:00
184414243,623,168,2023-05-08 13:35:00
184416328,768,171,2023-05-08 14:21:00
184419107,776,211,2023-05-08 15:19:00
184421272,851,232,2023-05-08 16:00:00
184421335,1,1,2023-05-08 16:02:00
184423065,873,239,2023-05-08 16:34:00
184425147,847,209,2023-05-08 17:08:00
184426988,848,188,2023-05-08 17:35:00
184426998,827,219,2023-05-08 17:35:00
184431576,776,196,2023-05-08 19:02:00
184433767,849,205,2023-05-08 19:43:00
184436634,907,215,2023-05-08 20:46:00
184438698,882,206,2023-05-08 21:20:00
184441243,808,202,2023-05-08 22:11:00
184443092,1007,200,2023-05-08 22:51:00
184445941,873,173,2023-05-08 23:54:00
184447969,665,155,2023-05-09 00:40:00
184449478,833,163,2023-05-09 01:16:00
184463909,813,170,2023-05-09 09:58:00
184467340,743,169,2023-05-09 11:42:00
184469879,841,200,2023-05-09 12:50:00
184472266,807,203,2023-05-09 13:47:00
184474186,689,191,2023-05-09 14:31:00
184476114,586,170,2023-05-09 15:12:00
184477522,769,209,2023-05-09 15:41:00
184479521,598,170,2023-05-09 16:20:00
184481146,704,185,2023-05-09 16:52:00
184483063,806,196,2023-05-09 17:28:00
184484652,907,204,2023-05-09 17:56:00
184486362,996,264,2023-05-09 18:21:00
184488379,770,232,2023-05-09 18:49:00
184489895,848,247,2023-05-09 19:11:00
184491518,851,237,2023-05-09 19:39:00
184493016,889,219,2023-05-09 20:03:00
184493914,747,213,2023-05-09 20:16:00
184494840,1017,210,2023-05-09 20:31:00
184494847,1009,238,2023-05-09 20:31:00
184498205,872,236,2023-05-09 21:21:00
184501654,859,216,2023-05-09 22:22:00
184503567,848,211,2023-05-09 22:58:00
184505406,894,224,2023-05-09 23:31:00
184508797,923,211,2023-05-10 00:45:00
184510870,911,201,2023-05-10 01:35:00
184513136,866,179,2023-05-10 02:33:00
184515777,750,143,2023-05-10 04:01:00
184519354,669,124,2023-05-10 06:39:00
184522525,806,149,2023-05-10 09:01:00
184525504,769,171,2023-05-10 10:35:00
184528547,7,6,2023-05-10 11:55:00
184530357,788,201,2023-05-10 12:35:00
184532561,812,210,2023-05-10 13:23:00
184534558,709,211,2023-05-10 14:05:00
184536035,1,2,2023-05-10 14:37:00
184536302,648,199,2023-05-10 14:44:00
184537599,840,234,2023-05-10 15:12:00
184538716,49,26,2023-05-10 15:35:00
184539956,738,217,2023-05-10 16:00:00
184541783,668,204,2023-05-10 16:36:00
184543309,684,208,2023-05-10 17:04:00
184545022,852,209,2023-05-10 17:38:00
184547387,922,216,2023-05-10 18:24:00
184548065,513,175,2023-05-10 18:35:00
184549391,763,221,2023-05-10 19:00:00
184551208,907,251,2023-05-10 19:33:00
184552950,770,232,2023-05-10 19:59:00
184554760,905,235,2023-05-10 20:31:00
184556562,1008,279,2023-05-10 21:00:00
184558744,1045,255,2023-05-10 21:35:00
184560710,951,266,2023-05-10 22:16:00
184562538,999,234,2023-05-10 22:53:00
184564604,944,226,2023-05-10 23:32:00
184566334,797,204,2023-05-11 00:05:00
184567877,728,215,2023-05-11 00:36:00
184569643,796,215,2023-05-11 01:14:00
184571093,846,209,2023-05-11 01:46:00
184572694,834,205,2023-05-11 02:19:00
184574168,890,222,2023-05-11 02:53:00
184575768,1004,220,2023-05-11 03:28:00
184575814,938,212,2023-05-11 03:29:00
184579176,766,158,2023-05-11 04:50:00
184582392,747,172,2023-05-11 07:09:00
184586291,774,169,2023-05-11 09:38:00
184586319,780,162,2023-05-11 09:39:00
184590137,729,192,2023-05-11 11:38:00
184593701,940,222,2023-05-11 13:10:00
184596865,852,216,2023-05-11 14:21:00
184598644,849,225,2023-05-11 14:53:00
184600846,917,240,2023-05-11 15:33:00
184600882,2,3,2023-05-11 15:33:00
184602556,913,249,2023-05-11 16:00:00
184604435,730,222,2023-05-11 16:26:00
184604477,827,231,2023-05-11 16:27:00
184606107,902,210,2023-05-11 16:51:00
184610488,851,233,2023-05-11 18:07:00
184612318,918,215,2023-05-11 18:44:00
184614466,906,224,2023-05-11 19:23:00
184616409,893,218,2023-05-11 20:00:00
184618599,739,207,2023-05-11 20:46:00
184620192,685,180,2023-05-11 21:20:00
184621729,939,218,2023-05-11 21:51:00
184624069,939,210,2023-05-11 22:40:00
184625998,537,156,2023-05-11 23:24:00
184626335,849,215,2023-05-11 23:31:00
184627530,655,171,2023-05-12 00:03:00
184630798,790,199,2023-05-12 01:26:00
184632013,768,171,2023-05-12 01:57:00
184633664,930,203,2023-05-12 02:40:00
184635749,1186,204,2023-05-12 03:39:00
184638388,914,147,2023-05-12 05:07:00
184641786,605,130,2023-05-12 07:33:00
184645007,742,125,2023-05-12 09:40:00
184648870,799,182,2023-05-12 11:33:00
184652673,849,180,2023-05-12 13:20:00
184655308,941,206,2023-05-12 14:27:00
184658246,829,196,2023-05-12 15:32:00
184662337,777,201,2023-05-12 16:56:00
184662356,15,13,2023-05-12 16:56:00
184664319,786,200,2023-05-12 17:35:00
184666691,853,188,2023-05-12 18:27:00
184668566,926,226,2023-05-12 19:01:00
184670278,828,241,2023-05-12 19:32:00
184672061,844,220,2023-05-12 20:02:00
184674026,754,203,2023-05-12 20:40:00
184676085,793,207,2023-05-12 21:26:00
184676101,791,172,2023-05-12 21:26:00
184680028,746,179,2023-05-12 22:55:00
184681776,763,185,2023-05-12 23:34:00
184683600,753,172,2023-05-13 00:21:00
184685243,969,195,2023-05-13 01:04:00
184685274,60,38,2023-05-13 01:05:00
184687106,914,188,2023-05-13 01:52:00
184688808,1057,199,2023-05-13 02:35:00
184690755,1162,219,2023-05-13 03:20:00
184690781,1057,186,2023-05-13 03:21:00
184695059,998,154,2023-05-13 05:38:00
184698265,707,144,2023-05-13 07:37:00
184701222,724,138,2023-05-13 09:40:00
184704385,765,140,2023-05-13 11:22:00
184707130,628,156,2023-05-13 12:30:00
184709156,707,179,2023-05-13 13:27:00
184711470,651,181,2023-05-13 14:25:00
184713139,757,189,2023-05-13 15:01:00
184715338,804,192,2023-05-13 15:45:00
184716946,0,1,2023-05-13 16:15:00
184718014,0,1,2023-05-13 16:32:00
184718308,1103,248,2023-05-13 16:38:00
184723031,901,269,2023-05-13 17:47:00
184725339,776,196,2023-05-13 18:20:00
184727874,828,204,2023-05-13 18:59:00
184730883,714,183,2023-05-13 20:01:00
184732850,734,183,2023-05-13 20:47:00
184735729,838,191,2023-05-13 21:58:00
184735732,775,188,2023-05-13 21:58:00
184739151,801,198,2023-05-13 23:10:00
184740781,924,185,2023-05-13 23:48:00
184743273,700,181,2023-05-14 00:47:00
184744954,754,190,2023-05-14 01:23:00
184744981,740,167,2023-05-14 01:24:00
184746577,14,10,2023-05-14 01:58:00
184747945,811,190,2023-05-14 02:27:00
184749708,910,171,2023-05-14 03:10:00
184751939,788,130,2023-05-14 04:11:00
184753525,585,122,2023-05-14 05:08:00
184753767,649,140,2023-05-14 05:17:00
184759972,613,136,2023-05-14 09:36:00
184762681,680,140,2023-05-14 11:07:00
184765378,744,154,2023-05-14 12:25:00
184768394,535,124,2023-05-14 13:45:00
184770016,597,168,2023-05-14 14:23:00
184771773,489,150,2023-05-14 15:01:00
184773181,629,166,2023-05-14 15:33:00
184774819,585,156,2023-05-14 16:09:00
184777010,619,174,2023-05-14 16:51:00
184779410,948,200,2023-05-14 17:40:00
184782346,747,210,2023-05-14 18:40:00
184786900,547,168,2023-05-14 20:11:00
184788408,744,184,2023-05-14 20:41:00
184790727,823,180,2023-05-14 21:30:00
184793226,721,162,2023-05-14 22:24:00
184793255,128,62,2023-05-14 22:25:00
184795405,706,162,2023-05-14 23:10:00
